# evals,fx,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
5.000000000000000000e+01,4.131430793668193655e+04,5.598768060835831761e+01,-1.864634762028836690e+01,-1.095309554979505151e+01,-2.885421366277792288e+01,-2.046908117141306604e+01,7.618286530317243432e+01,-3.434410225548214157e+01,3.530695967319070405e+01,4.573755444538051051e+01,-3.590547905632288916e+01,4.087318326089175002e+00,-7.802126631183196537e+01,5.971619356187443373e+01,-1.095570052362310776e+01,6.858392333100880478e+00,-7.344551434990231087e+01,4.382991609913503339e+01,2.986052163845354812e+01,8.056581290636557924e+01,1.773437507018446979e+01
1.000000000000000000e+02,3.395367855515170959e+04,5.598768060835831761e+01,7.485473695254290760e+01,-1.109140574466199070e+01,-2.885421366277792288e+01,-2.046908117141306604e+01,5.306014363388506183e+01,-3.434410225548214157e+01,3.530695967319070405e+01,1.078926917295244436e+01,-3.590547905632288916e+01,4.087318326089175002e+00,-4.869125637824308228e+01,5.773137604136964995e+01,-1.095570052362310776e+01,2.063167327531172290e+01,-7.344551434990231087e+01,4.382991609913503339e+01,2.986052163845354812e+01,4.905665409372129204e+01,1.773437507018446979e+01
1.500000000000000000e+02,3.098844622049502141e+04,5.286552883489264332e+00,-5.162891825347632846e+01,-8.757177546305115357e+00,1.775499337245454967e+01,1.996132561377004322e+01,5.287141084746085085e+01,8.246638225873431338e+01,-4.601658636458950014e+00,1.630587385730277106e+01,4.660284348939534027e+01,4.879187745687092104e+01,-3.214049049935740499e+01,6.711615765850245907e+01,-1.448832896148522309e+01,6.426113721255589439e+00,-3.757701882579943486e+01,-4.306514278973059362e+01,5.998954273596707765e+01,-2.005218676552934909e+01,3.561018127489929963e+00
2.000000000000000000e+02,2.319929782847804017e+04,2.512449706366883362e+01,-5.211012611098274050e+01,-6.105565687506015138e+00,2.769244860565647670e+01,-1.334473917874269588e+01,-7.478378031923071489e+00,-4.818386576348754602e+01,2.007156311534367354e+00,1.081383181778849689e+01,1.312494411713739240e+01,-5.900577824873565191e+00,-8.739348279749004078e+00,-3.310063115396459921e-01,1.225034048875206238e+01,-5.834037132338254139e+01,1.987674664425423288e+01,-8.382379666675304009e+01,2.335772588994272780e+01,-3.695508068247438871e+01,-5.658418527585993729e+01
2.500000000000000000e+02,1.651517208759573987e+04,5.286552883489264332e+00,-4.982617536931816460e+01,-8.757177546305115357e+00,-1.325002994654365551e+01,3.131431632537690746e+00,7.391385468587198915e+00,2.143186237997712951e+01,3.919610125812766910e-03,4.222124302187333456e+01,4.660284348939534027e+01,7.335111403233138105e+01,-2.714697426090193488e+00,3.257570594767296512e+01,-1.448832896148522309e+01,6.426113721255589439e+00,7.524464837763495950e-01,-4.306514278973059362e+01,9.752725252764037123e+00,-2.136748235396325413e+01,-1.292699810828925422e+01
3.000000000000000000e+02,1.651517208759573987e+04,5.286552883489264332e+00,-4.982617536931816460e+01,-8.757177546305115357e+00,-1.325002994654365551e+01,3.131431632537690746e+00,7.391385468587198915e+00,2.143186237997712951e+01,3.919610125812766910e-03,4.222124302187333456e+01,4.660284348939534027e+01,7.335111403233138105e+01,-2.714697426090193488e+00,3.257570594767296512e+01,-1.448832896148522309e+01,6.426113721255589439e+00,7.524464837763495950e-01,-4.306514278973059362e+01,9.752725252764037123e+00,-2.136748235396325413e+01,-1.292699810828925422e+01
3.500000000000000000e+02,1.525351122061646856e+04,1.076854060466490282e+01,3.443598785146009256e-01,-1.087665889483000470e+01,1.297547905083828823e+01,1.918252726354757343e+01,2.280491300867516458e+01,-1.831021737799566651e+01,-1.750276286027247252e+01,2.165836040928720152e+01,2.530587838451405958e+01,6.822873470386187478e+01,1.394614505708058516e+01,6.615470506003369167e+00,2.424554454888110300e+01,-6.449872655665291177e+01,-2.371393684853114081e+01,-2.082302135712501823e+01,1.949176092782465730e+01,-3.426341460714986198e+01,4.520953174423688381e+00
4.000000000000000000e+02,1.320133658570908119e+04,2.459082247978235714e+01,1.088269316061918879e+01,-3.402148427447090739e+01,1.443870996504654158e+01,-5.187950200530763567e+01,2.150304602094882966e+01,1.967785653587042383e+00,-3.541308810960239839e+01,3.570897296620552108e+00,5.001583419264785668e+00,-5.577468676078959575e+00,6.127854111054949371e+00,1.217581055585065108e+01,-4.291208416630851730e+00,-1.097251929491907418e+00,3.529918791523981980e+01,-4.559840194311704664e+01,1.885138265010465020e+01,2.107753465446348784e+01,-4.797140677156954780e+01
4.500000000000000000e+02,1.230241187717302455e+04,-1.210016745017945539e+00,2.011577249282603930e+01,5.531570985570898102e+01,1.125793926685248891e+01,-2.209948004867997540e+01,3.607947138253661734e+01,-2.565533350031250848e+01,3.884780441310427079e+01,-1.150928458342108662e+00,-1.744651235477563489e+01,-2.066168856867428616e+01,1.576650109101918851e+01,-6.036467202041734481e+00,1.307417595707157787e+01,1.362602642440910827e+01,-2.430249413103432232e+00,7.195824663731848148e+00,3.198026090045999581e+01,2.542079841642715010e+01,-4.063737328521589376e+01
5.000000000000000000e+02,7.668829730565639693e+03,2.201613161427189169e+01,-1.115518488451209578e+01,3.232797285355669459e+00,1.125793926685248891e+01,-2.209948004867997540e+01,1.579627731723948436e+01,-2.565533350031250848e+01,3.884780441310427079e+01,-4.519022493631048576e+00,-1.744651235477563489e+01,1.099252664064988494e+01,1.576650109101918851e+01,-6.036467202041734481e+00,6.367424589844945082e+00,1.362602642440910827e+01,1.340582696104534222e+01,7.195824663731848148e+00,3.198026090045999581e+01,2.542079841642715010e+01,-3.405744502161839904e+01
